"Total Asset","Cash","Total Debt in Current Liabilities","Total Long-Term Debt","Earnings Before Interest","Gross Profit (Loss)","Total Liabilities","Retained Earnings","Total debt/total asset","Total asset/Total libiilities","EBTI/total asset","Gross Profit/Revenue","EBTI/REV","Sales/Turnover (Net)","Total Stockholders Equity","Total Interest and Related Expense","Market Value - Total - Fiscal","Total Inventories","Total Revenue","Operating Activities - Net Cash Flow","Financing Activities - Net Cash Flow","Net Cash Flow","Rating level","Debt-to-Equity Ratio","Total Current Asset","Working Capital Ratio","Debt Service Coverage Ratio","Gross Profit Margin"
28827,1740,220,3913,4824,6705,10097,11129,0.135740799,2.855006438,0.167343116,0.273104965,0.196488941,24551,18730,232,24334.38,4074,24551,2953,-939,2014,"Low Risk",-0.18542445274959957,5814,1.5743298131600325,1.1671909024921365,27.310496517453466
7571,191.4,175.1,2993.8,1200,1666.5,6331.4,3824.8,0.39542993,1.195786082,0.158499538,0.19445741,0.140023337,8570,1239.6,159.9,9336.9722,1016.7,8570,1012.5,-845.3,167.2,"Moderate Risk",-2.1326234269119073,1208.1000000000004,0.42860183772661165,0.37868029915743634,19.44574095682614
5092.6,960.1,78,1401.9,991.4,2241.2,3287.7,-159.1,0.275281781,1.548985613,0.194674626,0.674329041,0.29829101,3323.6,1804.9,44.8,12478.6717,376.2,3323.6,660,-584.4,75.6,"Low Risk",-0.6902875505568176,1336.3000000000002,1.0093662663343153,0.6699101290627745,67.43290407991334
33879,2699,333,12748,1700,2493,21017,-10900,0.376280292,1.611980777,0.050178577,0.243266979,0.165886027,10248,12862,769,12520.2025,2722,10248,2296,-60,2236,"Moderate Risk",-0.9393562431970145,5421,0.43664921465968587,0.1299594832199373,24.32669789227166
25917,2925,1699,7606,4093,9209,17761,9577,0.293475325,1.459208378,0.157927229,0.552396377,0.245516166,16671,8156,237,39750.8836,3559,16671,3215,-1402,1813,"Low Risk",-0.5159391858754291,6484,1.0976807177924497,0.4398710370768404,55.23963769419951
12447,1861,203,3767,2148,4800,7394,11104,0.302643207,1.683391939,0.172571704,0.568316363,0.254321572,8446,5053,167,21839.2285,1495,8446,1746,-807,939,"Moderate Risk",-0.665149416188403,3356,0.941638608305275,0.5410579345088161,56.83163627752782
232708,10598,2735,110536,36132,77148,219032,3558,0.474998711,1.062438365,0.155267546,0.60708693,0.284327072,127079,13676,4891,194369.2159,1153,127079,30631,-57705,-27074,"Moderate Risk",-7.682509505703422,11751,0.10900640995909129,0.3189872076701009,60.70869301772913
46297,566,3743,16355,8202,10195,31058,-6916,0.35326263,1.490662631,0.177160507,0.484507176,0.389791845,21042,15239,962,44772.7824,333,21042,6241,-2440,3801,"Moderate Risk",-0.5819935691318328,899,0.0712813193783698,0.4081003084884068,48.450717612394264
3615.1,47.1,31.3,1315.9,568.4,1029.1,2182.1,1795.1,0.364000996,1.656706842,0.157229399,0.236928744,0.130862208,4343.5,1433,61,4439.622,575.8,4343.5,248.1,-370.8,-122.7,"Moderate Risk",-0.874598743893929,622.9000000000001,0.4848980227308112,0.42191211401425177,23.692874410037987
3341.278,413.251,0.265,435.71,365.923,1338.284,1156.123,1913.907,0.130402199,2.890071385,0.10951588,0.615290541,0.168237056,2175.044,2185.155,21.531,3504.4243,470.997,2175.044,273.312,11.689,285.001,"Moderate Risk",-0.19915292050220693,884.248,2.0306766641022405,0.8393210619874993,61.52905412488208
4245.902,21.218,350,1267.589,408.613,408.613,2892.018,562.205,0.298544102,1.468145081,0.09623703,0.293213115,0.293213115,1393.57,1353.884,73.017,2369.4029,91.191,1393.57,323.457,91.067,414.524,"Moderate Risk",-0.419230155611559,112.40899999999965,0.12250473796002312,0.2526061935386554,29.321311451882575
16059.9,664.8,34.8,5885.6,2355.7,2487.6,7837,2732.3,0.366477998,2.049240781,0.146682109,0.544988498,0.516091576,4564.5,8222.9,239.6,7015.7875,240.3,4564.5,2054.1,442.7,2496.8,"Moderate Risk",-0.7072930474650063,905.1000000000004,0.15469679360087515,0.39789541247213017,54.49884981925731
99198,11733,929,8141,9240,16054,90408,22277,0.082068187,1.097225909,0.093147039,0.176880192,0.10180472,90762,8790,504,91860.5054,46756,90762,8858,-8593,265,"Low Risk",-0.7147895335608646,58489,8.109955629506379,1.0187431091510475,17.688019215090016
4921,337,1,596,362,517,2804,-1587,0.121113595,1.754992867,0.073562284,0.121418506,0.08501644,4258,2117,47,1669.428,542,4258,186,-7,179,"Moderate Risk",-0.2805857345299953,879,1.477310924369748,0.6063651591289783,12.141850634100516
1449.706,194.668,0,225,110.647,402.014,777.272,853.209,0.155203883,1.865120576,0.076323751,0.216245845,0.059517713,1859.06,672.434,18.466,947.6663,376.103,1859.06,127.079,-61.591,65.488,"Moderate Risk",-0.3346053292962581,570.771,2.5367599999999997,0.49176444444444445,21.62458446741902
33749,5571,590,7242,4019,12927,18766,30116,0.214584136,1.798412022,0.11908501,0.814094087,0.253101581,15879,14983,203,98048.83,1560,15879,3148,-2437,711,"Low Risk",-0.4045918707868918,7131,1.0720084185207457,0.5131511746680286,81.40940865293784
23217,60,355,9055,4213,4213,15763,2138,0.390015937,1.472879528,0.18146186,0.353232162,0.353232162,11927,7454,438,25512.0154,320,11927,3407,-15,3392,"Moderate Risk",-1.1195331365709686,380,0.04367816091954023,0.4477151965993624,35.32321623207847
3134.4,552.7,5.5,450.2,441.8,1118,1962.9,986.8,0.143631955,1.59682103,0.140952016,0.291244432,0.115091046,3838.7,1171.5,29.8,4751.4944,652.3,3838.7,236.6,-60.7,175.9,"Moderate Risk",-0.37490396927016645,1205,2.7096919271418933,0.9694974764099189,29.12444317086514
3563.98,24.059,73.631,1061.159,403.535,633.84,2415.905,423.784,0.297745498,1.475215292,0.113225944,0.137438655,0.087500485,4611.803,1148.075,50.869,1915.9488,112.804,4611.803,323.011,118.675,441.686,"Moderate Risk",-0.7960255209807723,136.86299999999983,0.13859151335455785,0.35560323936587385,13.743865468668112
2348.7,494.3,1.8,222.2,265.4,888.3,3801.1,-5849.2,0.094605526,0.617900082,0.11299868,0.264658563,0.079072816,3356.4,-1452.4,13.2,1465.156,46.7,3356.4,121.4,-36.9,84.5,"Moderate Risk",0.1505095015147342,541,2.4546279491833034,1.1848214285714285,26.465856274579906
55896,1420,147,5005,4157,4157,45017,9353,0.089541291,1.24166426,0.074370259,0.119063986,0.119063986,34914,10789,265,26682.0932,0,34914,1994,-1582,412,"Low Risk",-0.43664843822411714,1420,0.2923013585837793,0.8068711180124224,11.906398579366444
55566,190,0,2559,1124,1124,42772,10045,0.046053342,1.29912092,0.020228197,0.119206703,0.119206703,9429,12794,183,10450.9258,0,9429,1440,-519,921,"Moderate Risk",-0.2000156323276536,190,0.07424775302852676,0.4392340758108636,11.920670272563369
33053,669,228,9514,4803,4803,21877,10068,0.287840741,1.51085615,0.145312075,0.379114374,0.379114374,12669,11176,545,35925.3419,273,12669,3343,-1083,2260,"Moderate Risk",-0.810486757337151,942,0.10144303252207625,0.49301991377540544,37.911437366800854
4084,67,68,1004,590,952,1993,1836,0.245837414,2.049172102,0.14446621,0.261036468,0.161776803,3647,2091,58,3268.6741,498,3647,315,-302,13,"Moderate Risk",-0.4151123864179818,565,0.6036324786324786,0.5503731343283582,26.103646833013432
8113,232,1771,2244,1597,3226,6510,1629,0.276593122,1.246236559,0.19684457,0.390179003,0.19315433,8268,1603,124,13017.67,1016,8268,899,-925,-26,"Moderate Risk",0.809731752963194,1248,2.638477801268499,0.39775840597758405,39.01790033865505
31792,52,544,7865,5674,5674,18322,9313,0.24738928,1.735181749,0.178472572,0.46761167,0.46761167,12134,13470,371,64768.188,335,12134,4381,-2370,2011,"Low Risk",-0.5031180400890869,387,0.05286163092473706,0.6747532405755738,46.76116696884787
16640,226,134,5659,2887,2887,11030,3389,0.340084135,1.508612874,0.173497596,0.436102719,0.436102719,6620,5610,301,37169.5738,177,6620,2123,-1630,493,"Moderate Risk",-0.9609625668449198,403,0.07294117647058823,0.4983600897635077,43.61027190332326
14553.2,662.1,1406,2131.6,1365.4,4053,8922.4,4157.1,0.146469505,1.631085807,0.09382129,0.325205209,0.109557166,12462.9,5630.8,124,9941.333,1623.8,12462.9,574.8,88.6,663.4,"Moderate Risk",0.12083540527100946,2285.8999999999996,3.1503583241455346,0.3859678878335595,32.52052090604916
26033,2865,801,3171,2399,5427,19632,4844,0.121806937,1.326049307,0.092152268,0.059582364,0.026338325,91084,6401,133,23104.72,8266,91084,2524,-710,1814,"Low Risk",-0.24511795032026246,11131,4.6966244725738395,0.6039778449144008,5.958236353256335
