Total Asset,Cash,Total Debt in Current Liabilities,Total Long-Term Debt,Earnings Before Interest,Gross Profit (Loss),Total Liabilities,Retained Earnings,Total debt/total asset,Total asset/Total libiilities,EBTI/total asset,Gross Profit/Revenue,EBTI/REV,Sales/Turnover (Net),Total Stockholders Equity,Total Interest and Related Expense,Market Value - Total - Fiscal,Total Inventories,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow,Debt-to-Equity Ratio,Total Current Asset,Working Capital Ratio,Debt Service Coverage Ratio,Gross Profit Margin,Prediction (Rating level),Probability_Class_0,Probability_Class_1
208527.0,10757.0,39172.0,79999.0,13489.0,24813.0,183353.0,4524.0,0.38363857,1.137297999,0.064687067,0.17222041,0.093623549,144077.0,24832.0,3496.0,61317.101,7866.0,14507.0,3423.0,17930.0,1.5774806701030928,18623.0,0.456144218286918,0.1131902895838752,17.22204099196957,2,0.00034233296,0.0030070262
4642.2,250.6,10.0,953.5,207.9,874.3,4824.9,-1211.7,0.205398303,0.96213393,0.0447848,0.600934772,0.142896419,1454.9,-182.7,44.2,563.2528,0.0,62.3,-34.1,28.2,-0.0547345374931581,250.6000000000004,0.2656067832538424,0.2157758173326414,60.09347721492886,2,0.03876045,0.0008230423
103206.0,15133.0,3486.0,16039.0,13426.0,30226.0,76079.0,23283.0,0.155407631,1.356563572,0.130089336,0.271197086,0.120462253,111454.0,27127.0,621.0,65993.6534,6415.0,12333.0,-6571.0,5762.0,0.1285066538872709,21548.0,1.7165617780610212,0.6876312419974392,27.119708579324204,2,5.021782e-05,0.02300326
2036.4,70.9,1.3,415.0,383.0,580.0,886.5,775.8,0.203791004,2.297123519,0.188076999,0.312584209,0.206413366,1855.5,1149.9,10.6,3962.295,290.1,318.0,-36.9,281.1,0.0011305330898338,361.0,0.8726130045927001,0.9200096084554408,31.25842091080571,2,5.392393e-05,0.00035709605
26125.0,566.0,137.0,11555.0,2301.0,2792.0,21411.0,-5286.0,0.442296651,1.220167204,0.088076555,0.265854123,0.219101124,10502.0,4714.0,618.0,25688.8402,404.0,1366.0,-1070.0,296.0,0.029062367416207,970.0,0.0849535820634086,0.1968012316113582,26.585412302418582,2,0.019094508,0.007549531
3397.117,5.961,250.0,683.539,919.696,997.445,2192.594,2555.972,0.201211498,1.549359799,0.270728385,0.161779993,0.14916954,6165.441,1204.523,27.028,9821.4438,27.74,646.779,13.032,659.811,0.20755103887597,33.70100000000002,0.077734644403387,0.9851714818556054,16.177999270449593,2,1.5178834e-05,0.0010142404
40830.0,215.0,1978.0,4913.0,5386.0,6528.0,18300.0,20964.0,0.12032819,2.231147541,0.131912809,0.188295019,0.155354928,34669.0,22530.0,86.0,42422.33,1121.0,4405.0,100.0,4505.0,0.0877940523746116,1336.0,0.4551959114139693,0.7815991873458134,18.8295018604517,1,4.4323783e-06,0.9901867
91956.0,2561.0,1588.0,12107.0,24191.0,43864.0,35179.0,34084.0,0.131660794,2.61394582,0.263071469,0.785108287,0.432987292,55870.0,56777.0,468.0,172304.92,4273.0,20418.0,-13611.0,6807.0,0.0279690719833735,6834.0,0.6496815286624203,1.7664110989412194,78.51082870950421,1,5.0205e-06,0.9994723
3494.621,478.573,8.09,934.232,685.514,1454.045,1971.932,2810.304,0.267334283,1.772181292,0.196162617,0.470788235,0.221954565,3088.533,1522.689,46.067,8187.6581,568.729,518.39,-202.33,316.06,0.0053129693588119,1047.302,1.1308222713147662,0.7274731991824451,47.07882350617592,2,3.762398e-05,0.012148825
28684.0,1881.0,742.0,8631.0,3931.0,5667.0,23421.0,-237.0,0.300899456,1.224712865,0.137045043,0.23995427,0.166447898,23617.0,5263.0,671.0,22510.0296,2424.0,3077.0,-2086.0,991.0,0.1409842295268858,4305.0,0.5456965394853593,0.4193961378427397,23.99542702290723,2,2.3226385e-05,0.0008388971
4141.909,24.299,116.7,600.0,644.343,854.759,1876.996,1913.109,0.144860739,2.206669061,0.155566672,0.333068232,0.251076835,2566.318,2264.913,22.1,4591.6838,192.354,438.909,-42.081,396.828,0.051525157919973,216.65300000000025,0.4482785019656533,0.8990414399330262,33.306823238585395,1,4.992132e-06,0.95879483
7993.306,1452.677,518.267,817.202,1018.0,2245.191,2780.222,3547.082,0.102235796,2.875060337,0.127356566,0.487310706,0.220953272,4607.309,5213.084,61.692,10971.613,740.503,717.049,-162.735,554.314,0.0994165833506615,2193.1799999999994,7.336645090069747,0.7622790195803871,48.73107056635445,2,1.4184922e-05,0.010356216
8746.78,0.448,0.0,3073.0,1546.725,1740.243,5289.351,1058.355,0.351329289,1.653658455,0.176833646,0.719532667,0.639519403,2418.574,3457.429,168.977,9013.1666,13.8,954.135,291.421,1245.556,0.0,14.247999999999593,0.0046365115522289,0.5033273673934265,71.95326667697577,2,0.0003925914,5.5225464e-05
34281.4,2077.9,0.0,14989.7,9507.1,11995.0,21428.0,41774.8,0.437254605,1.599841329,0.277325313,0.43711486,0.346452245,27441.3,12853.4,585.2,90223.73,110.0,6730.3,-4618.3,2112.0,0.0,2187.900000000001,0.1459602260218684,0.6342421796300126,43.71148597187452,1,4.5997793e-05,0.98147446
46527.854,1422.026,1500.29,12529.819,3752.148,3752.148,36215.369,10127.35,0.269297161,1.284754381,0.080643049,0.300293855,0.300293855,12494.921,10312.485,661.083,15680.0027,1124.018,3889.561,-252.173,3637.388,0.1454828782781259,2546.0440000000017,0.2308388690033819,0.2674354133670665,30.029385539932584,2,1.0320918e-05,0.0013994852
31269.0,1897.0,106.0,6790.0,8543.0,16782.0,18127.0,28028.0,0.217147974,1.724995863,0.273209888,0.527387574,0.268470507,31821.0,13142.0,157.0,104365.3832,3706.0,6626.0,-6603.0,23.0,0.008065743418049,5603.0,0.8382704967085578,1.2388341067285382,52.73875742434242,1,3.138866e-06,0.99907446
4360.8,145.8,104.4,1272.8,324.5,324.5,2749.6,509.0,0.291873051,1.585976142,0.074412952,0.285450387,0.285450387,1136.8,1611.2,54.8,2532.5251,80.5,269.8,404.4,674.2,0.0647964250248262,226.30000000000015,0.1936836699760357,0.2356230031948881,28.545038705137227,2,0.0028088398,0.0047432543
